station_name,latitude,longitude,total_bikes,institution name,category,distance,bank_count,bar_count,restaurant_count,total_institutions
Wolseley St / Augusta Ave,43.6484201,-79.40051919999999,27,Saku SushiBarChefSaku SushiA la Mode,restaurantbarbarbar,151.0,0.0,3.0,1.0,4.0
Cumberland St / Bay St -  SMART,43.6704537,-79.39014,8,Paramount Fine FoodsDavid Rocco Bar AperitivoParamount Fine FoodsBrothersMatthew Jeffery Barrister and SolicitorBarry Brown MSW Family Mediation Inc,restaurantbarbarbarbarbar,158.0,0.0,5.0,1.0,6.0
Overlea Blvd / Thorncliffe Park Dr,43.707555968595464,-79.34272024477463,18,"RBC Royal BankAl-Bargash, Saleh DdsRBC Royal Bank",barbarbank,85.0,1.0,2.0,0.0,3.0
Kempford Blvd / Yonge St,43.776857235099826,-79.4151161430729,19,Angus Pho HouseMy Sushi,restaurantbar,92.0,0.0,1.0,1.0,2.0
Bay St / Albert St,43.653264,-79.382458,63,Eggspectation Bell Trinity SquareEggspectation Bell Trinity SquareThe SupermarketCIBC,restaurantbarbarbank,161.0,1.0,2.0,1.0,4.0
High Park Outdoor Pool,43.650154,-79.464934,25,,,,,,,
800 Fleet St (South),43.63670985212708,-79.40880517790985,30,,,,,,,
McCowan Rd / Trudelle St,43.74033901575211,-79.23935319629516,18,,,,,,,
Queens Quay W / Dan Leckie Way,43.636533,-79.395854,25,,,,,,,
Roehampton Ave / Mount Pleasant Rd,43.70942,-79.39139,17,Pizzaiola,restaurant,44.0,0.0,0.0,1.0,1.0
Niagara St / Tecumseth St,43.641389,-79.404444,15,,,,,,,
Uno Dr / The Queensway,43.62649329992186,-79.50358167641535,13,No Frills,bar,29.0,0.0,1.0,0.0,1.0
Oakdale Community Centre,43.74751496038769,-79.5132569853195,13,,,,,,,
Trinity St /Front St E,43.651318,-79.36023,19,,,,,,,
Summerhill Subway Station,43.681944,-79.390556,11,Sash Restaurant & Wine BarSash Restaurant & Wine Bar,restaurantbar,68.0,0.0,1.0,1.0,2.0
Sheppard Ave W / Chesswood Dr,43.755583971122874,-79.47446032684479,19,Kabbalah Bnei Baruch Toronto,bar,35.0,0.0,1.0,0.0,1.0
Bellwoods Ave / Treford Pl - SMART,43.65246,-79.413528,19,,,,,,,
Swansea Community Centre,43.6438036,-79.4770327,14,,,,,,,
The Queensway / High St,43.630874,-79.482407,21,TD Bank Financial GroupTD Canada Trust Branch and ATM,bankbank,72.0,2.0,0.0,0.0,2.0
Esther Shiner Stadium,43.7774374,-79.4447096,22,,,,,,,
Rogers Rd / Watt Ave,43.68233679999999,-79.4680594,14,Pizza PizzaBanaboia RestaurantPizza PizzaBanaboia RestaurantRBC Royal Bank ATM,restaurantrestaurantbarbarbank,200.0,1.0,2.0,2.0,5.0
College Park - Gerrard Entrance,43.658938,-79.383518,24,Hailed Coffee,bar,25.0,0.0,1.0,0.0,1.0
Carlton St / Parliament St,43.664524,-79.36793,26,The Pear TreeThe Pear TreeDaniel et Daniel Catering & EventsThe ArkMaya Bay Thai Snack BarLjs Khasos Restaurant + BarParadise Bar and RestaurantParkway Restaurant & BarTD Bank Financial GroupCIBCTD Canada Trust ATMTD Canada Trust Branch and ATM,restaurantbarbarbarbarbarbarbarbankbankbankbank,435.0,4.0,7.0,1.0,12.0
Avenue Rd / Oxton Ave ,43.69711160305226,-79.40537298227844,14,,,,,,,
Spadina Rd / Austin Terrace,43.67883,-79.408723,16,,,,,,,
Hanna Ave / Snooker St,43.639547,-79.420022,14,EQ3 Toronto - HannaRBC Royal BankBarcelona Tavern TorontoRBC Royal Bank,barbarbarbank,133.0,1.0,3.0,0.0,4.0
Queen St W / John St,43.650077,-79.391291,23,Omg Oh My GyroMe Va Me Kitchen ExpressMuch Music Video AwardsMad One BarbershopEm Beauty BarBeautifully BarePresident's Choice Financial ATM,restaurantrestaurantbarbarbarbarbank,263.0,1.0,4.0,2.0,7.0
Glen Edyth Dr / Davenport Rd,43.677778,-79.405556,14,,,,,,,
Eglinton Ave W / Gilbert Ave,43.69254716689966,-79.46332759272917,18,,,,,,,
St. Joseph St / Bay St - SMART,43.6658804,-79.38761010000002,20,Cups CafeGreen Grotto Bay Inc5th ElementtMullins Irish PubSage Restaurant & BarLily Sushi BarScotiabank,restaurantrestaurantrestaurantbarbarbarbank,309.0,1.0,3.0,3.0,7.0
Front St E / Cherry St,43.652686,-79.358395,15,,,,,,,
Jarvis St / Isabella St,43.668991,-79.379385,23,Panago Pizza Inc,restaurant,40.0,0.0,0.0,1.0,1.0
