station_name,latitude,longitude,total_bikes
St. Clair Ave W / Osler St,43.6739269797493,-79.46068479021301,10
Bridgman Ave / Bathurst St,43.674444,-79.414722,15
Davenport Rd / Bedford Rd,43.674446,-79.398331,14
Queen St W / Bay St (City Hall),43.6517925,-79.38269509999999,23
University Ave / College St (East),43.65995,-79.38964,19
York University (Glendon Campus) - SMART,43.727365488246306,-79.3814254607724,15
Simcoe St / Elm St,43.656038841714505,-79.38970387738495,10
Spadina Ave / Harbord St - SMART,43.6629228,-79.4018451,34
Bayview Ave / Finch Recreational Trail,43.789068698639504,-79.39315096004944,19
Keele St / Lloyd Ave,43.67115532642577,-79.46701597756929,14
Viewmount Park,43.70735572654095,-79.43723072209013,15
Housey St / Dan Leckie Way,43.63811,-79.397877,26
Ontario St / Adelaide St E -SMART,43.6535052,-79.3667689,17
Clendenan Ave / Rowland St - SMART,43.66073,-79.47149,20
Slan Ave / Scarborough Golf Club Rd,43.77327261711258,-79.21971485277862,13
Southwood Dr / Kingston Rd - SMART,43.678685,-79.297974,12
85 Lee Ave,43.6700692,-79.2971326,24
King St W / Portland St - SMART,43.644395,-79.40065430000001,31
Toronto Eaton Centre (Yonge St) - SMART,43.655431,-79.380653,18
Sussex Ave / St George St,43.665304278965365,-79.39938263802871,14
Baldwin St / Henry St,43.6560758,-79.393259,14
Donlands Subway Station,43.681114,-79.3373885,15
York St / Lake Shore Blvd W,43.641952,-79.380723,19
Weston Rd / Sheppard Ave W,43.73262849415089,-79.5381993243286,14
Spadina Ave / Willcocks St,43.6616667,-79.40138888888889,13
Leslie Subway Station,43.77037892370793,-79.36702734195678,14
Pharmacy Ave / Teesdale Pl,43.697356080874876,-79.28528711019696,19
Lindylou Rd / Lanyard Rd,43.74845421407306,-79.5504039969242,14
Blake St / Boultbee Ave,43.672453,-79.338259,15
Granby St / Church St - SMART,43.6614605,-79.37894570000002,23
Vaughan Rd /Wychwood Ave,43.6882821,-79.4253856,18
Spadina Ave / Sullivan St,43.65082785552666,-79.39698099821702,22
Jarvis St / Carlton St,43.66207,-79.37617,15
Mallaby Park ,43.706191092397106,-79.53262795581969,15
Bathurst St / Lennox St,43.663808,-79.410491,18
1303 Yonge St - SMART,43.6846177,-79.39245919999999,15
Palmerston Ave / Vermont Ave,43.671389,-79.416389,15
Westmoreland Ave / Fernbank Ave,43.665327,-79.43235,18
York St / Queens Quay W,43.640132,-79.380464,56
Gamble Ave / Broadview Ave,43.689211,-79.35438,23
Howard Park Ave / Dundas St W - SMART,43.6521,-79.4486,12
St Columba Pl / St Clair Ave E,43.70567,-79.310554,17
Bloor St W / Huron St,43.667023,-79.401805,26
Bloor St W / Gladstone Ave - SMART,43.6602021,-79.4342726,11
Greenwood Ave / Sammon Ave,43.68698672516659,-79.33478198280334,11
High Park Ave / Dundas St W,43.6653032,-79.4701178,13
Sunnybrook Park,43.720233,-79.362092,26
Danforth Ave / Ellerbeck St,43.677076,-79.35667,15
1612 Danforth Ave ,43.68370788065334,-79.32262453633884,12
Finch Ave W / Wilmington Ave,43.77060244428048,-79.45997589178772,18
Charles St E / Jarvis St - SMART,43.669604,-79.381171,18
Queens Quay / Yonge St,43.641646,-79.375308,47
HTO Park West,43.63737145931921,-79.38976958703309,30
University of Toronto Scarborough,43.7842419,-79.1849889,16
King St W / Douro St,43.640885,-79.416379,10
Lower Jarvis St / Queens Quay E,43.64422,-79.36927,18
Keele St / Catford Rd,43.75919330632997,-79.49001046850891,15
Brick Works,43.683884,-79.36647,17
Danforth Ave / Dewhurst Blvd,43.680207,-79.339243,15
Kingston Rd / Glen Everest Rd,43.697490048103,-79.25655146462776,15
Queens Quay E / Lower Jarvis St ,43.64392767366328,-79.3687301736982,23
Vaughan Rd / Oakwood Ave,43.6926825,-79.441042,19
Rushton Rd / St Clair Ave W,43.68114,-79.4277,11
Queen St E / Alton Av,43.663912,-79.327987,19
Torresdale Ave / Antibes Dr,43.77953,-79.45233,12
Tangiers Rd / Finch Ave W,43.76376964130183,-79.48809242593383,15
Adelaide St W / Bay St (South),43.65011637593798,-79.37953068860327,15
Fort York Blvd / Garrison Rd,43.637381,-79.406112,15
Niagara St / Queen St W ,43.64572868466845,-79.40990680181771,11
Cariboo Ave / Railpath Trail,43.66666667,-79.45833333333334,17
Davisville Ave / Pailton Cres,43.69933,-79.39199,17
Yonge St / St. Clair Ave,43.68850460000001,-79.39416076812287,19
Simcoe St / Dundas St W,43.655103,-79.389295,20
Front St W / Simcoe St,43.6442,-79.38702,27
Mill St / Tannery Rd,43.652219,-79.354455,27
Dundas St E / George St,43.6574766,-79.373446,23
Front St W / Yonge St (Hockey Hall of Fame),43.646144,-79.377962,47
Church St / Lombard St,43.651678,-79.375233,17
Augusta Ave / Denison Sq,43.653766,-79.4016759,14
Grenoble Dr / Deauville Ln,43.71649675774656,-79.33089439933623,15
St. John's Rd / Dundas St W,43.66526761605873,-79.47502122887077,15
Millwood Rd / Southvale Dr,43.70241717215276,-79.36175932936095,13
Dundas St E / Broadview Ave,43.662365,-79.351104,18
Dundas St W / Edna Ave,43.657192,-79.452559,15
Frobisher Ave / Lascelles Blvd,43.696708,-79.40045,18
Eastgate Cres / Pharmacy Ave ,43.7110442448186,-79.29127313845584,15
St. Andrew's Playground Park,43.646552,-79.399586,9
Roxton Rd / Harbord St,43.65905,-79.422988,9
Ossington Ave / College St,43.6544915,-79.422634,10
Sixth St / Lake Shore Blvd W,43.60116229109828,-79.50416046627045,15
Dufferin St / Queen St W,43.64309687937765,-79.42875613770637,15
Yonge St / Sheppard Ave E,43.76128605777495,-79.41071644205269,15
Davenport Rd / Bathurst St,43.676667,-79.416111,14
Havelock St / Dufferin Park,43.657343,-79.43112,18
Bellamy Rd N / The Meadoway,43.76507271818177,-79.23835381614684,14
Sunnybrook Health Centre - L Wing,43.72268,-79.37644,14
High Park Blvd / Parkside Dr,43.644887,-79.45641169999999,14
Teddington Park Ave,43.732975,-79.40401,15
Scarlett Rd / Old Scarlett Rd ,43.678276306636576,-79.50667332401198,15
Blythwood Rd / Yonge St - SMART,43.716652,-79.399993,12
Runnymede Rd / Annette St,43.6596299,-79.4799176,14
285 Victoria St,43.656633,-79.379625,39
Eastern Ave / Winnifred Ave,43.6592088,-79.3348396,15
Ursula Franklin St / St. George St - SMART,43.660296,-79.397107,15
Guildwood GO Station (South),43.754978,-79.1971289,10
Clarence Square,43.64407,-79.3929,20
Eglinton Ave E / Brimley Rd,43.736952572933866,-79.24798367249146,18
Front St W / Bay St (South Side),43.64595,-79.378761,19
Jimmie Simpson Park (Queen St E),43.6605603,-79.3437663,14
Alma Ave / Gladstone Ave SMART,43.6448617,-79.42822,15
Jane St / Weston Rd,43.69144464414302,-79.50154583869246,15
439 Sherbourne St,43.666051,-79.374161,47
Mary McCormick Rec Centre (Sheridan Ave),43.6475,-79.43305555555555,14
24 Mountjoy Ave,43.6808774,-79.3304491,18
Church St / The Esplanade,43.6469251,-79.3733192,19
50 Overlea Blvd,43.707225,-79.345324,14
60 Broadway Ave,43.71024429599603,-79.39578744603273,23
Queen St W  /  Fuller Ave - SMART,43.640255,-79.439223,16
Windsor St / Newcastle St,43.6171635,-79.4971065,31
O'Connor Dr / Curity Ave,43.707582,-79.311439,14
Humber College (Lakeshore Campus),43.5961692,-79.5160575,26
Bay St / Charles St W - SMART,43.668153,-79.38891,19
Primrose Ave / Davenport Rd,43.67142,-79.445947,15
Ted Rogers Way / Bloor St E,43.671293,-79.380471,23
Lake Shore Blvd W / Colborne Lodge Dr,43.63771,-79.458173,27
Weston Lions Park,43.698841,-79.519472,27
Oriole Pkwy / Kilbarry Rd,43.6954486,-79.4026176,19
Highfield Rd / Gerrard St E,43.671771,-79.324961,19
Grand Avenue Park,43.623708,-79.490054,23
Church St  / Wood St,43.662712,-79.379903,27
Bayview Ave / Lawren Harris Square,43.6548521,-79.35397680000001,15
King St W / Bay St (West Side),43.64852,-79.380576,38
Bloor St E / Parliament St,43.671946102001826,-79.37245115337294,17
128 Sterling Rd - SMART,43.654004,-79.444792,20
Jane St / Lawrence Ave W,43.702340220597975,-79.50347389514123,14
519 Church St - SMART,43.6668334195837,-79.38120391054117,11
Ossington Ave / Bruce St,43.64570236705167,-79.41933192053696,14
Islington Subway Station (Aberfoyle Cres),43.645658591546216,-79.52339938954925,12
Spadina Ave / Fort York Blvd,43.640114,-79.393249,22
Vanauley St / Queen St W - SMART,43.648437,-79.39838,10
Howard St / Rose Ave,43.671278,-79.372127,19
Brooklawn Ave / Kingston Rd,43.721761400691236,-79.2359137196434,11
Salem Ave / Bloor St W,43.6608333,-79.43166666666667,14
Gunns Rd / Lavender Creek Trail,43.675531973168354,-79.47199740066374,14
Lake Shore Blvd W / Bathurst St,43.63675592256874,-79.39920538954927,23
Front St W / Bay St (North Side),43.646162,-79.378912,11
Greenwood Ave / Gerrard St E,43.67036917803197,-79.32782698645094,15
Trethewey Dr / Jane St,43.697417070558615,-79.50079830912324,18
Don Mills Rd / Goodview Rd,43.785346474479695,-79.35362921031188,15
25 Booth Ave,43.6544839,-79.34105699999999,11
Danforth Ave / Danforth Rd,43.69362206784152,-79.27710529695892,14
Lake Shore Blvd W / The Boulevard Club,43.636731,-79.444966,18
Thorncliffe Park Dr / Leaside Park Trail,43.70400405297843,-79.34807015078738,12
University Ave / Gerrard St W (East Side),43.657763,-79.389165,25
Cosburn Ave / Durant Ave,43.6935477,-79.3301658,15
Marlee Ave / York Beltline Trail,43.70163,-79.44099,18
King St W / Bay St (East Side),43.648575,-79.380042,19
Bloor St W / Balmuto St,43.66981064282057,-79.38801106873031,11
Claremont St / Dundas St W,43.651281,-79.411717,13
HTO Park (Queens Quay W),43.63796,-79.387502,24
Charles St W / Balmuto St - SMART,43.668427,-79.38725,24
King St W / Brant St,43.645102,-79.39744979999999,21
Lawton Blvd / Yonge St,43.6910667,-79.39535,13
Grenoble Dr / Vendome Pl,43.715537998967406,-79.32811427663442,10
Chiltern Hill Rd / Eglinton Ave W,43.7004017,-79.4275305,17
14 Arundel Ave,43.6784834,-79.3513564,20
Antler St / Campbell Ave - SMART,43.664182,-79.449066,20
Keele St / Ingram Dr,43.698706949666914,-79.4756586460327,14
